fire_id,fire_zone,sdd_2024_mean
2024_G80016,Fort St. John Fire Zone,101.0
2024_G80036,Fort St. John Fire Zone,89.0
2024_G80062,Fort St. John Fire Zone,71.0
2024_G80071,Fort St. John Fire Zone,90.0
2024_G80155,Fort St. John Fire Zone,94.2
2024_G80162,Fort St. John Fire Zone,68.0
2024_G80187,Fort St. John Fire Zone,90.24
2024_G80188,Fort St. John Fire Zone,94.0
2024_G80189,Fort St. John Fire Zone,89.8
2024_G80262,Fort St. John Fire Zone,142.22
2024_G80270,both,121.81
2024_G80273,Fort St. John Fire Zone,103.33
2024_G80286,both,118.52
2024_G80305,Fort St. John Fire Zone,82.68
2024_G80315,Fort St. John Fire Zone,74.0
2024_G80419,Fort St. John Fire Zone,192.33
2024_G80424,Fort St. John Fire Zone,82.0
2024_G80426,Fort St. John Fire Zone,93.2
2024_G80428,Fort St. John Fire Zone,87.5
2024_G80447,Fort St. John Fire Zone,89.0
2024_G80467,Fort St. John Fire Zone,86.0
2024_G80468,Fort St. John Fire Zone,86.0
2024_G80549,Fort St. John Fire Zone,126.02
2024_G80648,Fort St. John Fire Zone,107.43
2024_G80733,Fort St. John Fire Zone,89.0
2024_G80854,Fort St. John Fire Zone,123.12
2024_G81281,Fort St. John Fire Zone,183.38
2024_G81369,Fort St. John Fire Zone,143.38
2024_G82080,Fort St. John Fire Zone,104.71
2024_G82565,Fort St. John Fire Zone,82.0
2024_G90228,both,129.28
2024_G90230,Fort Nelson Fire Zone,154.75
2024_G90267,Fort Nelson Fire Zone,145.55
2024_G90399,Fort Nelson Fire Zone,150.46
2024_G90548,Fort Nelson Fire Zone,154.0
2024_G90637,Fort Nelson Fire Zone,132.0
2024_G90683,Fort Nelson Fire Zone,132.26
2024_G90686,Fort Nelson Fire Zone,131.04
2024_G90713,Fort Nelson Fire Zone,134.57
2024_G90734,Fort Nelson Fire Zone,113.0
2024_G90741,Fort Nelson Fire Zone,192.15
2024_G90765,Fort Nelson Fire Zone,111.66
2024_G90777,Fort Nelson Fire Zone,134.88
2024_G90849,Fort Nelson Fire Zone,107.0
2024_G90917,Fort Nelson Fire Zone,119.0
2024_G90939,Fort Nelson Fire Zone,147.8
2024_G90992,Fort Nelson Fire Zone,111.06
2024_G90994,Fort Nelson Fire Zone,142.39
2024_G91018,Fort Nelson Fire Zone,140.2
2024_G91031,Fort Nelson Fire Zone,180.13
2024_G91033,Fort Nelson Fire Zone,84.91
2024_G91104,Fort Nelson Fire Zone,137.63
2024_G91714,Fort Nelson Fire Zone,158.68
2024_G91790,Fort Nelson Fire Zone,115.24
2024_G91977,Fort Nelson Fire Zone,103.0
2024_G92253,Fort Nelson Fire Zone,130.06
2024_G92307,Fort Nelson Fire Zone,115.5
2024_G92309,Fort Nelson Fire Zone,92.0
2024_G92310,Fort Nelson Fire Zone,126.5
2024_G92348,Fort Nelson Fire Zone,178.07
2024_G92424,Fort Nelson Fire Zone,112.75
