Fire ID (2023),First detection 2024,Days after SDD (2024),Detection days 2024,Hotspot count 2024,First detection 2025,Days after SDD (2025),Detection days 2025,Hotspot count 2025,Days between first detections
2023_G80280,2024-06-03,9.1,10,34,2025-05-29,10.1,1,46,360
2023_G83130,2024-05-11,7.3,1,7,2025-06-11,10.5,1,2,396
2023_G90207,2024-05-06,-3.7,31,11448,2025-05-27,7.4,31,11199,386
2023_G90709,2024-05-20,0.3,1,1,2025-05-26,-1.8,2,2,371
2023_G91534,2024-05-24,-2.2,18,305,2025-06-18,27.5,3,14,390
2023_G92498,2024-05-15,-3.8,23,1178,2025-05-28,6.4,16,220,378
2023_G92940,2024-06-03,-2.1,18,273,2025-05-29,4.8,1,23,360
