fire_id,fire_year,fire_zone,buffer_dist,spring_year,sdd_doy,sdd_max_doy,n_fall_hotspots,n_spring_hotspots,n_spring_near_perim,has_fall_hotspots,has_spring_hotspots,has_spring_near_perim,overwintered,linked_perim_id,first_spring_dist_to_perim,last_fall_date,last_fall_lat,last_fall_lon,first_spring_date,first_spring_lat,first_spring_lon,dormancy_days,days_after_sdd,exclusion_reason,flag_near_lightning,flag_near_infrastructure,lightning_date,lightning_days_before,linked_perim_cause
2023_G80035,2023,Fort St. John Fire Zone,2000,2024,91.79020979020979,141.7902097902098,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80052,2023,Fort St. John Fire Zone,2000,2024,82.27551020408163,132.27551020408163,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80053,2023,Fort St. John Fire Zone,2000,2024,89.60655737704919,139.60655737704917,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80076,2023,Fort St. John Fire Zone,2000,2024,70.27619047619048,120.27619047619048,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80117,2023,Fort St. John Fire Zone,2000,2024,91.72832369942196,141.72832369942196,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80120,2023,Fort St. John Fire Zone,2000,2024,82.09803921568627,132.09803921568627,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80121,2023,Fort St. John Fire Zone,2000,2024,90.31683168316832,140.31683168316832,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80122,2023,Fort St. John Fire Zone,2000,2024,88.60416666666667,138.60416666666669,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80123,2023,Fort St. John Fire Zone,2000,2024,85.3069306930693,135.30693069306932,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80164,2023,Fort St. John Fire Zone,2000,2024,88.89430894308943,138.8943089430894,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80173,2023,Fort St. John Fire Zone,2000,2024,105.45762711864407,155.45762711864407,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80175,2023,Fort St. John Fire Zone,2000,2024,94.45454545454545,144.45454545454544,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80190,2023,Fort St. John Fire Zone,2000,2024,92.46327683615819,142.46327683615817,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
