fire_id,fire_year,fire_zone,buffer_dist,spring_year,sdd_doy,sdd_max_doy,n_fall_hotspots,n_spring_hotspots,n_spring_near_perim,has_fall_hotspots,has_spring_hotspots,has_spring_near_perim,overwintered,linked_perim_id,first_spring_dist_to_perim,last_fall_date,last_fall_lat,last_fall_lon,first_spring_date,first_spring_lat,first_spring_lon,dormancy_days,days_after_sdd,exclusion_reason,flag_near_lightning,flag_near_infrastructure,lightning_date,lightning_days_before,linked_perim_cause
2023_G80035,2023,Fort St. John Fire Zone,1000,2024,86.30188679245283,136.30188679245282,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80052,2023,Fort St. John Fire Zone,1000,2024,89.39285714285714,139.39285714285714,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80053,2023,Fort St. John Fire Zone,1000,2024,83.025,133.025,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80076,2023,Fort St. John Fire Zone,1000,2024,79.35483870967742,129.35483870967744,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80117,2023,Fort St. John Fire Zone,1000,2024,89.63235294117646,139.63235294117646,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80120,2023,Fort St. John Fire Zone,1000,2024,79.73684210526316,129.73684210526318,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80121,2023,Fort St. John Fire Zone,1000,2024,82.51851851851852,132.51851851851853,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80122,2023,Fort St. John Fire Zone,1000,2024,88.14634146341463,138.14634146341461,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80123,2023,Fort St. John Fire Zone,1000,2024,85.21428571428571,135.21428571428572,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80164,2023,Fort St. John Fire Zone,1000,2024,86.41463414634147,136.41463414634148,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80173,2023,Fort St. John Fire Zone,1000,2024,109.83333333333333,159.83333333333331,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80175,2023,Fort St. John Fire Zone,1000,2024,95.71621621621621,145.7162162162162,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80190,2023,Fort St. John Fire Zone,1000,2024,91.20289855072464,141.20289855072463,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80220,2023,Fort St. John Fire Zone,1000,2024,90.60987261146497,140.60987261146497,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80223,2023,Fort St. John Fire Zone,1000,2024,98.0467706013363,148.0467706013363,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80227,2023,Fort St. John Fire Zone,1000,2024,82.5625,132.5625,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80245,2023,Fort St. John Fire Zone,1000,2024,77.10810810810811,127.10810810810811,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80280,2023,both,1000,2024,145.39062239279158,195.39062239279158,7596,17,1,True,True,True,True,2024_G80262,0.0,2023-12-14,57.10903,-121.83142,2024-07-11,57.27762,-121.54882,210.0,47.609377607208415,,False,,2024-05-15 21:00:00,56.0,Lightning
2023_G80291,2023,Fort St. John Fire Zone,1000,2024,110.11604439959636,160.11604439959638,458,9,0,True,True,False,False,,,2023-10-13,56.58323,-121.25278,,,,,,,,,,,
2023_G80561,2023,Fort St. John Fire Zone,1000,2024,19.0,69.0,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80641,2023,Fort St. John Fire Zone,1000,2024,118.86206896551724,168.86206896551724,0,1,0,False,True,False,False,,,,,,,,,,,,,,,,
2023_G80839,2023,Fort St. John Fire Zone,1000,2024,113.70588235294117,163.70588235294116,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80864,2023,Fort St. John Fire Zone,1000,2024,107.5,157.5,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80867,2023,Fort St. John Fire Zone,1000,2024,109.5625,159.5625,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G80875,2023,Fort St. John Fire Zone,1000,2024,117.06434852118305,167.06434852118304,247,0,0,True,False,False,False,,,2023-09-23,57.17545,-120.84833,,,,,,,,,,,
2023_G80913,2023,Fort St. John Fire Zone,1000,2024,73.35714285714286,123.35714285714286,1,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81004,2023,Fort St. John Fire Zone,1000,2024,109.34482758620689,159.3448275862069,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81492,2023,Fort St. John Fire Zone,1000,2024,129.57894736842104,179.57894736842104,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81530,2023,Fort St. John Fire Zone,1000,2024,138.32356389214536,188.32356389214536,630,0,0,True,False,False,False,,,2023-09-23,57.44636,-120.13947,,,,,,,,,,,
2023_G81720,2023,Fort St. John Fire Zone,1000,2024,103.55882352941177,153.55882352941177,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81730,2023,Fort St. John Fire Zone,1000,2024,89.78571428571429,139.78571428571428,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81742,2023,Fort St. John Fire Zone,1000,2024,97.71428571428571,147.71428571428572,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G81934,2023,Fort St. John Fire Zone,1000,2024,102.85106382978724,152.85106382978722,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G82220,2023,Fort St. John Fire Zone,1000,2024,96.10344827586206,146.10344827586206,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G82494,2023,Fort St. John Fire Zone,1000,2024,106.05208333333333,156.05208333333331,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G82711,2023,Fort St. John Fire Zone,1000,2024,89.11111111111111,139.11111111111111,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G83130,2023,both,1000,2024,117.29807692307692,167.2980769230769,169,10,10,True,True,True,False,2024_G80270,0.0,2023-09-24,58.21033,-121.72032,2024-05-30,58.22757,-121.77472,249.0,33.70192307692308,lightning_strike,True,,2024-05-26 18:00:00,3.0,Lightning
2023_G90207,2023,Fort Nelson Fire Zone,1000,2024,130.10502022611763,180.10502022611763,914,1365,0,True,True,False,False,,,2023-11-02,59.31672,-123.25378,,,,,,,,,,,
2023_G90259,2023,Fort Nelson Fire Zone,1000,2024,177.17241379310346,227.17241379310346,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90266,2023,Fort Nelson Fire Zone,1000,2024,88.20370370370371,138.2037037037037,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90273,2023,both,1000,2024,151.1460973982655,201.1460973982655,444,1,1,True,True,True,True,2024_G80270,35.362066510567445,2023-09-23,58.01761,-121.84055,2024-06-23,57.95681,-121.75756,274.0,23.85390260173449,,False,,2024-05-15 18:00:00,38.0,Lightning
2023_G90288,2023,Fort Nelson Fire Zone,1000,2024,129.62605485232066,179.62605485232066,7454,0,0,True,False,False,False,,,2023-09-23,59.53164,-120.35718,,,,,,,,,,,
2023_G90292,2023,Fort Nelson Fire Zone,1000,2024,151.98655462184874,201.98655462184874,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90565,2023,Fort Nelson Fire Zone,1000,2024,122.73076923076923,172.73076923076923,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
2023_G90628,2023,both,1000,2024,119.81667877906976,169.81667877906978,17737,0,0,True,False,False,False,,,2023-10-20,58.18569,-120.25383,,,,,,,,,,,
2023_G90709,2023,Fort Nelson Fire Zone,1000,2024,139.15528882220556,189.15528882220556,0,1,0,False,True,False,False,,,,,,,,,,,,,,,,
2023_G90776,2023,Fort Nelson Fire Zone,1000,2024,200.23720930232557,250.23720930232557,0,0,0,False,False,False,False,,,,,,,,,,,,,,,,
