fire_id,fire_year,acq_date,ignition_doy,sdd_doy,days_after_sdd,n_first_day_hotspots,dist_to_prev_perim_m,nearest_prev_fire_id,ignition_lon,ignition_lat,first_lightning_date_2km,days_lightning_to_hotspot,lightning_flag
2025_G80066,2025.0,2025-05-30,150,126.0,24.0,1,57808.6627969284,2024_G80188,-122.1203,56.79809999999998,,,False
2025_G80320,2025.0,2025-05-10,130,130.86,-0.8600000000000136,7,0.0,2024_G90228,-121.00967,58.37624999999996,,,False
2025_G80352,2025.0,2025-05-30,150,152.8,-2.8,229,35824.68170628915,2024_G80262,-123.037,57.489099999999915,,,False
2025_G80396,2025.0,2025-05-29,149,138.25,10.75,48,0.0,2024_G80270,-121.68170000000002,58.02772999999995,,,False
2025_G80402,2025.0,2025-05-11,131,130.79,0.21000000000000796,10,0.0,2024_G90228,-121.16042,58.41351,,,False
2025_G80403,2025.0,2025-06-10,161,128.86,32.14,2,224.11649765601902,2024_G90228,-120.87520000000002,58.37922999999998,,,False
2025_G80418,2025.0,2025-05-29,149,90.29,58.71,7,0.0,2024_G80270,-121.67425,58.231010000000005,,,False
2025_G80427,2025.0,2025-06-12,163,132.92,30.08,2,0.0,2024_G90228,-120.75075000000001,58.38596999999997,,,False
2025_G80473,2025.0,2025-06-03,154,141.29,12.71,7,24561.226633940492,2024_G80854,-120.56329,57.50262999999999,,,False
2025_G80476,2025.0,2025-06-03,154,144.8,9.2,16,9012.343855713043,2024_G80286,-120.38527000000002,57.996819999999985,,,False
2025_G80497,2025.0,2025-06-05,156,124.47,31.53,168,16565.96930845522,2024_G80305,-120.25109,56.498409999999986,,,False
2025_G90220,2025.0,2025-05-04,124,109.67,14.33,1,8779.666665648701,2024_G91977,-122.64403000000001,59.13687999999998,2025-07-17,-74.0,False
2025_G90386,2025.0,2025-06-09,160,151.0,9.0,1,20230.49796211485,2024_G90228,-121.7574,59.24877999999996,2025-06-02,7.0,True
2025_G90391,2025.0,2025-05-28,148,145.39,2.61,4,1259.1856938637854,2024_G90228,-121.45435,59.43078000000003,,,False
2025_G90397,2025.0,2025-06-01,152,105.67,46.33,1,0.0,2024_G80270,-121.5941,58.254740000000034,,,False
2025_G90400,2025.0,2025-06-20,171,150.7,20.3,9,5924.962676870687,2024_G90228,-120.90306,59.52544999999997,,,False
2025_G90401,2025.0,2025-05-28,148,134.39,13.61,36,0.0,2024_G90228,-120.93038000000001,58.758129999999994,2025-07-03,-36.0,False
2025_G90406,2025.0,2025-05-29,149,132.36,16.64,3,0.0,2024_G90228,-120.55198,58.47724999999998,,,False
2025_G90407,2025.0,2025-05-10,130,133.39,-3.39,3,62.78848874307465,2024_G90228,-120.3725,59.234180000000016,,,False
2025_G90425,2025.0,2025-05-29,149,138.89,10.11,14,0.0,2024_G80270,-121.85178000000002,58.24004999999998,2025-06-18,-20.0,False
2025_G90428,2025.0,2025-05-11,131,125.05,5.95,3,356.7563213674264,2024_G80286,-120.24477,58.326319999999974,,,False
2025_G90463,2025.0,2025-06-01,152,147.8,4.2,16,0.0,2024_G91714,-124.08755,59.70416999999994,,,False
2025_G90475,2025.0,2025-06-03,154,140.0,14.0,4,11128.940296215458,2024_G90228,-120.06582,59.16529000000002,2025-06-02,1.0,True
2025_G90507,2025.0,2025-06-09,160,134.65,25.35,1,0.0,2024_G90228,-121.17829,58.726109999999935,,,False
2025_G90715,2025.0,2025-05-29,149,142.75,6.25,1,163.33189842503106,2024_G90228,-121.78996000000001,58.814630000000015,,,False
