fire_id_2023,fire_zone,fire_id_2024,dormancy_days_2324,days_after_sdd_2324,dist_to_perim_2324,fire_id_2025,dormancy_days_2425,days_after_sdd_2425,dist_to_perim_2425
2023_G92498,both,2024_G90228,260.0,48.92469365903955,353.564402619344,2025_G90216,253.0,35.53807832087875,0.0
2023_G93103,Fort Nelson Fire Zone,2024_G90228,304.0,43.69444444444446,0.0,2025_G90216,253.0,35.53807832087875,0.0
2023_G93291,Fort Nelson Fire Zone,2024_G90228,272.0,20.59963436928703,0.0,2025_G90216,253.0,35.53807832087875,0.0
